Info;Data;tick
Dia;1,40%;DESK3
P/L;26,33;DESK3
LPA;0,51;DESK3
Mês;25,94%;DESK3
P/VP;1,28;DESK3
VPA;10,43;DESK3
30 dias;20,29%;DESK3
P/EBIT;6,23;DESK3
Marg. Bruta;60,3%;DESK3
12 meses;51,60%;DESK3
PSR;1,99;DESK3
Marg. EBIT;31,9%;DESK3
2023;67,88%;DESK3
P/Ativos;0,53;DESK3
Marg. Líquida;8,6%;DESK3
2022;-55,79%;DESK3
P/Cap. Giro;3.151,45;DESK3
EBIT / Ativo;8,6%;DESK3
2021;-24,37%;DESK3
P/Ativ Circ Liq;1,24;DESK3
ROIC;9,5%;DESK3
2020;0,00%;DESK3
Div. Yield;0,1%;DESK3
ROE;4,9%;DESK3
2019;0,00%;DESK3
EV / EBITDA;5,90;DESK3
Liquidez Corr;1,00;DESK3
2018;0,00%;DESK3
EV / EBIT;8,74;DESK3
Div Br/ Patrim;0,71;DESK3
Cres. Rec (5a);73,2%;DESK3
Giro Ativos;0,27;DESK3
Ativo;2.896.220.000;DESK3
Dív. Bruta;854.813.000;DESK3
Disponibilidades;234.102.000;DESK3
Dív. Líquida;620.711.000;DESK3
Ativo Circulante;420.754.000;DESK3
Patrim. Líq;1.202.230.000;DESK3
Relatorio 12 meses Lucro Líquido;58.645.000;DESK3
Relatorio 3 meses Lucro Líquido;18.019.000;DESK3
Relatorio 12 meses EBIT;247.828.000;DESK3
Relatorio 3 meses EBIT;72.481.000;DESK3
Relatorio 12 meses Receita Líquida;776.014.000;DESK3
Relatorio 3 meses Receita Líquida;222.035.000;DESK3
Papel;DEXP3;DEXP3
Cotação;9,27;DEXP3
Tipo;ON;DEXP3
Data últ cot;19/07/2023;DEXP3
Empresa;DEXXOS PAR ON;DEXP3
Min 52 sem;5,78;DEXP3
Setor;Químicos;DEXP3
Max 52 sem;10,09;DEXP3
Subsetor;Petroquímicos;DEXP3
Vol $ méd (2m);628.526;DEXP3
Valor de mercado;871.510.000;DEXP3
Últ balanço processado;31/03/2023;DEXP3
Valor da firma;904.942.000;DEXP3
Nro. Ações;94.014.000;DEXP3
Dia;1,38%;DEXP3
P/L;6,34;DEXP3
LPA;1,46;DEXP3
Mês;-0,32%;DEXP3
P/VP;1,41;DEXP3
VPA;6,55;DEXP3
30 dias;-4,24%;DEXP3
P/EBIT;4,67;DEXP3
Marg. Bruta;18,9%;DEXP3
12 meses;36,33%;DEXP3
PSR;0,45;DEXP3
Marg. EBIT;9,6%;DEXP3
2023;38,51%;DEXP3
P/Ativos;0,63;DEXP3
Marg. Líquida;8,5%;DEXP3
2022;-30,41%;DEXP3
P/Cap. Giro;1,52;DEXP3
EBIT / Ativo;13,5%;DEXP3
2021;44,87%;DEXP3
P/Ativ Circ Liq;3,68;DEXP3
ROIC;18,4%;DEXP3
2020;179,03%;DEXP3
Div. Yield;2,9%;DEXP3
ROE;22,3%;DEXP3
2019;331,36%;DEXP3
EV / EBITDA;4,24;DEXP3
Liquidez Corr;2,91;DEXP3
2018;-38,55%;DEXP3
EV / EBIT;4,85;DEXP3
Div Br/ Patrim;0,52;DEXP3
Cres. Rec (5a);33,0%;DEXP3
Giro Ativos;1,42;DEXP3
Ativo;1.378.380.000;DEXP3
Dív. Bruta;320.778.000;DEXP3
Disponibilidades;287.346.000;DEXP3
Dív. Líquida;33.432.000;DEXP3
Ativo Circulante;872.971.000;DEXP3
Patrim. Líq;616.253.000;DEXP3
Relatorio 12 meses Lucro Líquido;137.371.000;DEXP3
Relatorio 3 meses Lucro Líquido;45.616.000;DEXP3
Relatorio 12 meses EBIT;186.559.000;DEXP3
Relatorio 3 meses EBIT;70.149.000;DEXP3
Relatorio 12 meses Receita Líquida;1.953.080.000;DEXP3
Relatorio 3 meses Receita Líquida;469.145.000;DEXP3
Papel;DEXP4;DEXP4
Cotação;9,00;DEXP4
Tipo;PN;DEXP4
Data últ cot;19/07/2023;DEXP4
Empresa;DEXXOS PAR PN;DEXP4
Min 52 sem;5,51;DEXP4
Setor;Químicos;DEXP4
Max 52 sem;10,01;DEXP4
Subsetor;Petroquímicos;DEXP4
Vol $ méd (2m);34.286;DEXP4
Valor de mercado;846.126.000;DEXP4
Últ balanço processado;31/03/2023;DEXP4
Valor da firma;879.558.000;DEXP4
Nro. Ações;94.014.000;DEXP4
Dia;1,69%;DEXP4
P/L;6,16;DEXP4
LPA;1,46;DEXP4
Mês;-0,99%;DEXP4
P/VP;1,37;DEXP4
VPA;6,55;DEXP4
30 dias;-0,55%;DEXP4
P/EBIT;4,54;DEXP4
Marg. Bruta;18,9%;DEXP4
12 meses;32,08%;DEXP4
PSR;0,43;DEXP4
Marg. EBIT;9,6%;DEXP4
2023;49,70%;DEXP4
P/Ativos;0,61;DEXP4
Marg. Líquida;8,5%;DEXP4
2022;-26,77%;DEXP4
P/Cap. Giro;1,48;DEXP4
EBIT / Ativo;13,5%;DEXP4
2021;8,87%;DEXP4
P/Ativ Circ Liq;3,57;DEXP4
ROIC;18,4%;DEXP4
2020;2,00%;DEXP4
Div. Yield;3,0%;DEXP4
ROE;22,3%;DEXP4
2019;0,00%;DEXP4
EV / EBITDA;4,12;DEXP4
Liquidez Corr;2,91;DEXP4
2018;0,00%;DEXP4
EV / EBIT;4,71;DEXP4
Div Br/ Patrim;0,52;DEXP4
Cres. Rec (5a);33,0%;DEXP4
Giro Ativos;1,42;DEXP4
Ativo;1.378.380.000;DEXP4
Dív. Bruta;320.778.000;DEXP4
Disponibilidades;287.346.000;DEXP4
Dív. Líquida;33.432.000;DEXP4
Ativo Circulante;872.971.000;DEXP4
Patrim. Líq;616.253.000;DEXP4
Relatorio 12 meses Lucro Líquido;137.371.000;DEXP4
Relatorio 3 meses Lucro Líquido;45.616.000;DEXP4
Relatorio 12 meses EBIT;186.559.000;DEXP4
Relatorio 3 meses EBIT;70.149.000;DEXP4
Relatorio 12 meses Receita Líquida;1.953.080.000;DEXP4
Relatorio 3 meses Receita Líquida;469.145.000;DEXP4
Papel;DIRR3;DIRR3
Cotação;20,58;DIRR3
Tipo;ON NM;DIRR3
Data últ cot;19/07/2023;DIRR3
Empresa;Direcional Engenharia ON NM;DIRR3
Min 52 sem;10,24;DIRR3
Setor;Construção Civil;DIRR3
Max 52 sem;20,73;DIRR3
Subsetor;Incorporações;DIRR3
Vol $ méd (2m);51.351.600;DIRR3
Valor de mercado;3.570.630.000;DIRR3
Últ balanço processado;31/03/2023;DIRR3
Valor da firma;3.911.540.000;DIRR3
Nro. Ações;173.500.000;DIRR3
Dia;0,72%;DIRR3
P/L;16,13;DIRR3
LPA;1,28;DIRR3
Mês;8,03%;DIRR3
P/VP;2,64;DIRR3
VPA;7,78;DIRR3
30 dias;8,20%;DIRR3
P/EBIT;8,83;DIRR3
Marg. Bruta;33,9%;DIRR3
12 meses;96,32%;DIRR3
PSR;1,59;DIRR3
Marg. EBIT;18,0%;DIRR3
2023;31,59%;DIRR3
P/Ativos;0,55;DIRR3
Marg. Líquida;12,5%;DIRR3
2022;34,80%;DIRR3
P/Cap. Giro;1,69;DIRR3
EBIT / Ativo;6,2%;DIRR3
2021;2,04%;DIRR3
P/Ativ Circ Liq;1,79;DIRR3
ROIC;7,6%;DIRR3
2020;-7,29%;DIRR3
Div. Yield;2,9%;DIRR3
ROE;16,4%;DIRR3
2019;116,76%;DIRR3
EV / EBITDA;8,55;DIRR3
Liquidez Corr;3,43;DIRR3
2018;40,94%;DIRR3
EV / EBIT;9,67;DIRR3
Div Br/ Patrim;1,05;DIRR3
Cres. Rec (5a);14,2%;DIRR3
Giro Ativos;0,35;DIRR3
Ativo;6.482.030.000;DIRR3
Dív. Bruta;1.412.830.000;DIRR3
Disponibilidades;1.071.930.000;DIRR3
Dív. Líquida;340.907.000;DIRR3
Ativo Circulante;2.979.500.000;DIRR3
Patrim. Líq;1.350.290.000;DIRR3
Relatorio 12 meses Lucro Líquido;221.343.000;DIRR3
Relatorio 3 meses Lucro Líquido;58.754.000;DIRR3
Relatorio 12 meses EBIT;404.534.000;DIRR3
Relatorio 3 meses EBIT;112.527.000;DIRR3
Relatorio 12 meses Receita Líquida;2.251.790.000;DIRR3
Relatorio 3 meses Receita Líquida;557.269.000;DIRR3
Papel;DMMO3;DMMO3
Cotação;1,76;DMMO3
Tipo;ON;DMMO3
Data últ cot;06/01/2023;DMMO3
Empresa;DOMMO ON;DMMO3
Min 52 sem;1,49;DMMO3
Setor;Petróleo, Gás e Biocombustíveis;DMMO3
Max 52 sem;1,94;DMMO3
Subsetor;Exploração, Refino e Distribuição;DMMO3
Vol $ méd (2m);0;DMMO3
Valor de mercado;949.254.000;DMMO3
Últ balanço processado;30/09/2022;DMMO3
Valor da firma;878.818.000;DMMO3
Nro. Ações;539.349.000;DMMO3
Dia;0,00%;DMMO3
P/L;-258,65;DMMO3
LPA;-0,01;DMMO3
Mês;0,00%;DMMO3
P/VP;-1,72;DMMO3
VPA;-1,03;DMMO3
30 dias;0,00%;DMMO3
P/EBIT;6,37;DMMO3
Marg. Bruta;54,5%;DMMO3
12 meses;22,22%;DMMO3
PSR;2,85;DMMO3
Marg. EBIT;44,8%;DMMO3
2023;-8,33%;DMMO3
P/Ativos;3,35;DMMO3
Marg. Líquida;1,1%;DMMO3
2022;269,23%;DMMO3
P/Cap. Giro;11,90;DMMO3
EBIT / Ativo;52,5%;DMMO3
2021;-62,59%;DMMO3
P/Ativ Circ Liq;1,37;DMMO3
ROIC;70,4%;DMMO3
2020;-51,91%;DMMO3
Div. Yield;0,0%;DMMO3
ROE;0,7%;DMMO3
2019;-70,10%;DMMO3
EV / EBITDA;5,42;DMMO3
Liquidez Corr;2,25;DMMO3
2018;-5,77%;DMMO3
EV / EBIT;5,90;DMMO3
Div Br/ Patrim;;DMMO3
Cres. Rec (5a);17,4%;DMMO3
Giro Ativos;1,17;DMMO3
Ativo;283.719.000;DMMO3
Dív. Bruta;0;DMMO3
Disponibilidades;70.436.000;DMMO3
Dív. Líquida;-70.436.000;DMMO3
Ativo Circulante;143.338.000;DMMO3
Patrim. Líq;-553.275.000;DMMO3
Relatorio 12 meses Lucro Líquido;-3.670.000;DMMO3
Relatorio 3 meses Lucro Líquido;-56.096.000;DMMO3
Relatorio 12 meses EBIT;149.011.000;DMMO3
Relatorio 3 meses EBIT;6.828.000;DMMO3
Relatorio 12 meses Receita Líquida;332.554.000;DMMO3
Relatorio 3 meses Receita Líquida;92.638.000;DMMO3
Papel;DMVF3;DMVF3
Cotação;5,18;DMVF3
Tipo;ON NM;DMVF3
Data últ cot;19/07/2023;DMVF3
Empresa;D1000VFARMA ON NM;DMVF3
Min 52 sem;3,20;DMVF3
Setor;Comércio e Distribuição;DMVF3
Max 52 sem;5,39;DMVF3
Subsetor;Medicamentos e Outros Produtos;DMVF3
Vol $ méd (2m);289.527;DMVF3
Valor de mercado;262.124.000;DMVF3
Últ balanço processado;31/03/2023;DMVF3
Valor da firma;231.928.000;DMVF3
Nro. Ações;50.603.000;DMVF3
Dia;0,19%;DMVF3
P/L;15,48;DMVF3
LPA;0,33;DMVF3
Mês;11,40%;DMVF3
P/VP;0,31;DMVF3
VPA;16,76;DMVF3
30 dias;8,82%;DMVF3
P/EBIT;1,84;DMVF3
Marg. Bruta;32,0%;DMVF3
12 meses;18,81%;DMVF3
PSR;0,17;DMVF3
Marg. EBIT;9,1%;DMVF3
2023;26,65%;DMVF3
P/Ativos;0,18;DMVF3
Marg. Líquida;1,1%;DMVF3
2022;-2,85%;DMVF3
P/Cap. Giro;3,94;DMVF3
EBIT / Ativo;9,7%;DMVF3
2021;-67,06%;DMVF3
P/Ativ Circ Liq;1,26;DMVF3
ROIC;12,0%;DMVF3
2020;-17,90%;DMVF3
Div. Yield;0,0%;DMVF3
ROE;2,0%;DMVF3
2019;0,00%;DMVF3
EV / EBITDA;0,96;DMVF3
Liquidez Corr;1,19;DMVF3
2018;0,00%;DMVF3
EV / EBIT;1,62;DMVF3
Div Br/ Patrim;0,03;DMVF3
Cres. Rec (5a);26,4%;DMVF3
Giro Ativos;1,06;DMVF3
Ativo;1.472.830.000;DMVF3
Dív. Bruta;28.227.000;DMVF3
Disponibilidades;58.423.000;DMVF3
Dív. Líquida;-30.196.000;DMVF3
Ativo Circulante;416.957.000;DMVF3
Patrim. Líq;847.883.000;DMVF3
Relatorio 12 meses Lucro Líquido;16.933.000;DMVF3
Relatorio 3 meses Lucro Líquido;-1.610.000;DMVF3
Relatorio 12 meses EBIT;142.796.000;DMVF3
Relatorio 3 meses EBIT;30.161.000;DMVF3
Relatorio 12 meses Receita Líquida;1.561.130.000;DMVF3
Relatorio 3 meses Receita Líquida;405.486.000;DMVF3
Papel;DOHL3;DOHL3
Cotação;10,00;DOHL3
Tipo;ON;DOHL3
Data últ cot;18/05/2023;DOHL3
Empresa;DOHLER ON;DOHL3
Min 52 sem;10,00;DOHL3
Setor;Tecidos, Vestuário e Calçados;DOHL3
Max 52 sem;18,79;DOHL3
Subsetor;Fios e Tecidos;DOHL3
Vol $ méd (2m);0;DOHL3
Valor de mercado;756.450.000;DOHL3
Últ balanço processado;31/03/2023;DOHL3
Valor da firma;780.612.000;DOHL3
Nro. Ações;75.645.000;DOHL3
Dia;0,00%;DOHL3
P/L;4.640,80;DOHL3
LPA;0,00;DOHL3
Mês;0,00%;DOHL3
P/VP;1,06;DOHL3
VPA;9,41;DOHL3
30 dias;0,00%;DOHL3
P/EBIT;82,54;DOHL3
Marg. Bruta;19,6%;DOHL3
12 meses;-47,03%;DOHL3
PSR;1,16;DOHL3
Marg. EBIT;1,4%;DOHL3
2023;0,00%;DOHL3
P/Ativos;0,77;DOHL3
Marg. Líquida;0,0%;DOHL3
2022;-47,03%;DOHL3
P/Cap. Giro;1,67;DOHL3
EBIT / Ativo;-0,9%;DOHL3
2021;-4,38%;DOHL3
P/Ativ Circ Liq;2,92;DOHL3
ROIC;1,1%;DOHL3
2020;154,90%;DOHL3
Div. Yield;0,0%;DOHL3
ROE;0,0%;DOHL3
2019;37,36%;DOHL3
EV / EBITDA;79,23;DOHL3
Liquidez Corr;6,64;DOHL3
2018;0,00%;DOHL3
EV / EBIT;85,17;DOHL3
Div Br/ Patrim;0,17;DOHL3
Cres. Rec (5a);10,1%;DOHL3
Giro Ativos;0,66;DOHL3
Ativo;984.462.000;DOHL3
Dív. Bruta;118.431.000;DOHL3
Disponibilidades;94.269.000;DOHL3
Dív. Líquida;24.162.000;DOHL3
Ativo Circulante;531.796.000;DOHL3
Patrim. Líq;712.035.000;DOHL3
Relatorio 12 meses Lucro Líquido;163.000;DOHL3
Relatorio 3 meses Lucro Líquido;3.787.000;DOHL3
Relatorio 12 meses EBIT;-9.164.990;DOHL3
Relatorio 3 meses EBIT;-1.024.000;DOHL3
Relatorio 12 meses Receita Líquida;651.254.000;DOHL3
Relatorio 3 meses Receita Líquida;170.469.000;DOHL3
Papel;DOHL4;DOHL4
Cotação;5,44;DOHL4
Tipo;PN;DOHL4
Data últ cot;19/07/2023;DOHL4
Empresa;DOHLER PN;DOHL4
Min 52 sem;4,03;DOHL4
Setor;Tecidos, Vestuário e Calçados;DOHL4
Max 52 sem;6,08;DOHL4
Subsetor;Fios e Tecidos;DOHL4
Vol $ méd (2m);28.481;DOHL4
Valor de mercado;411.509.000;DOHL4
Últ balanço processado;31/03/2023;DOHL4
Valor da firma;435.671.000;DOHL4
Nro. Ações;75.645.000;DOHL4
Dia;0,18%;DOHL4
P/L;2.524,59;DOHL4
LPA;0,00;DOHL4
Mês;-1,63%;DOHL4
P/VP;0,58;DOHL4
VPA;9,41;DOHL4
30 dias;-5,56%;DOHL4
P/EBIT;44,90;DOHL4
Marg. Bruta;19,6%;DOHL4
12 meses;-4,23%;DOHL4
PSR;0,63;DOHL4
Marg. EBIT;1,4%;DOHL4
2023;26,22%;DOHL4
P/Ativos;0,42;DOHL4
Marg. Líquida;0,0%;DOHL4
2022;-26,84%;DOHL4
P/Cap. Giro;0,91;DOHL4
EBIT / Ativo;-0,9%;DOHL4
2021;17,17%;DOHL4
P/Ativ Circ Liq;1,59;DOHL4
ROIC;1,1%;DOHL4
2020;-7,16%;DOHL4
Div. Yield;0,0%;DOHL4
ROE;0,0%;DOHL4
2019;-2,69%;DOHL4
EV / EBITDA;44,22;DOHL4
Liquidez Corr;6,64;DOHL4
2018;34,03%;DOHL4
EV / EBIT;47,54;DOHL4
Div Br/ Patrim;0,17;DOHL4
Cres. Rec (5a);10,1%;DOHL4
Giro Ativos;0,66;DOHL4
Ativo;984.462.000;DOHL4
Dív. Bruta;118.431.000;DOHL4
Disponibilidades;94.269.000;DOHL4
Dív. Líquida;24.162.000;DOHL4
Ativo Circulante;531.796.000;DOHL4
Patrim. Líq;712.035.000;DOHL4
Relatorio 12 meses Lucro Líquido;163.000;DOHL4
Relatorio 3 meses Lucro Líquido;3.787.000;DOHL4
Relatorio 12 meses EBIT;-9.164.990;DOHL4
Relatorio 3 meses EBIT;-1.024.000;DOHL4
Relatorio 12 meses Receita Líquida;651.254.000;DOHL4
Relatorio 3 meses Receita Líquida;170.469.000;DOHL4
Papel;DOTZ3;DOTZ3
Cotação;1,34;DOTZ3
Tipo;ON NM;DOTZ3
Data últ cot;19/07/2023;DOTZ3
Empresa;DOTZ SA ON NM;DOTZ3
Min 52 sem;0,76;DOTZ3
Setor;Diversos;DOTZ3
Max 52 sem;3,87;DOTZ3
Subsetor;Programas de Fidelização;DOTZ3
Vol $ méd (2m);733.436;DOTZ3
Valor de mercado;176.972.000;DOTZ3
Últ balanço processado;31/03/2023;DOTZ3
Valor da firma;129.252.000;DOTZ3
Nro. Ações;132.068.000;DOTZ3
Dia;2,90%;DOTZ3
P/L;-1,88;DOTZ3
LPA;-0,71;DOTZ3
Mês;-17,79%;DOTZ3
P/VP;-0,96;DOTZ3
VPA;-1,40;DOTZ3
30 dias;3,08%;DOTZ3
P/EBIT;2,96;DOTZ3
Marg. Bruta;87,9%;DOTZ3
12 meses;-66,91%;DOTZ3
PSR;1,30;DOTZ3
Marg. EBIT;44,0%;DOTZ3
2023;3,88%;DOTZ3
P/Ativos;0,49;DOTZ3
Marg. Líquida;69,3%;DOTZ3
2022;-51,87%;DOTZ3
P/Cap. Giro;1,42;DOTZ3
EBIT / Ativo;-16,6%;DOTZ3
2021;-79,70%;DOTZ3
P/Ativ Circ Liq;0,52;DOTZ3
ROIC;36,6%;DOTZ3
2020;0,00%;DOTZ3
Div. Yield;0,0%;DOTZ3
ROE;50,8%;DOTZ3
2019;0,00%;DOTZ3
EV / EBITDA;3,55;DOTZ3
Liquidez Corr;0,62;DOTZ3
2018;0,00%;DOTZ3
EV / EBIT;2,16;DOTZ3
Div Br/ Patrim;0,59;DOTZ3
Cres. Rec (5a);2,9%;DOTZ3
Giro Ativos;0,38;DOTZ3
Ativo;359.388.000;DOTZ3
Dív. Bruta;109.534.000;DOTZ3
Disponibilidades;157.254.000;DOTZ3
Dív. Líquida;-47.720.000;DOTZ3
Ativo Circulante;201.544.000;DOTZ3
Patrim. Líq;-184.960.000;DOTZ3
Relatorio 12 meses Lucro Líquido;-94.034.000;DOTZ3
Relatorio 3 meses Lucro Líquido;-15.529.000;DOTZ3
Relatorio 12 meses EBIT;-59.739.000;DOTZ3
Relatorio 3 meses EBIT;-23.028.000;DOTZ3
Relatorio 12 meses Receita Líquida;135.687.000;DOTZ3
Relatorio 3 meses Receita Líquida;30.299.000;DOTZ3
Papel;DTCY3;DTCY3
Cotação;6,00;DTCY3
Tipo;ON;DTCY3
Data últ cot;03/07/2023;DTCY3
Empresa;DTCOM ON;DTCY3
Min 52 sem;4,40;DTCY3
Setor;Serviços Diversos;DTCY3
Max 52 sem;7,28;DTCY3
Subsetor;Serviços Diversos;DTCY3
Vol $ méd (2m);872;DTCY3
Valor de mercado;66.786.000;DTCY3
Últ balanço processado;31/03/2023;DTCY3
Valor da firma;67.565.000;DTCY3
Nro. Ações;11.131.000;DTCY3
Dia;0,00%;DTCY3
P/L;161,71;DTCY3
LPA;0,04;DTCY3
Mês;0,00%;DTCY3
P/VP;-120,99;DTCY3
VPA;-0,05;DTCY3
30 dias;3,45%;DTCY3
P/EBIT;70,30;DTCY3
Marg. Bruta;18,6%;DTCY3
12 meses;7,14%;DTCY3
PSR;6,50;DTCY3
Marg. EBIT;9,2%;DTCY3
2023;20,00%;DTCY3
P/Ativos;5,96;DTCY3
Marg. Líquida;4,0%;DTCY3
2022;-33,77%;DTCY3
P/Cap. Giro;51,61;DTCY3
EBIT / Ativo;-8,5%;DTCY3
2021;2,30%;DTCY3
P/Ativ Circ Liq;9,75;DTCY3
ROIC;9,2%;DTCY3
2020;63,09%;DTCY3
Div. Yield;0,0%;DTCY3
ROE;74,8%;DTCY3
2019;112,50%;DTCY3
EV / EBITDA;52,54;DTCY3
Liquidez Corr;0,79;DTCY3
2018;-20,53%;DTCY3
EV / EBIT;71,12;DTCY3
Div Br/ Patrim;2,08;DTCY3
Cres. Rec (5a);15,1%;DTCY3
Giro Ativos;0,92;DTCY3
Ativo;11.200.000;DTCY3
Dív. Bruta;1.146.000;DTCY3
Disponibilidades;367.000;DTCY3
Dív. Líquida;779.000;DTCY3
Ativo Circulante;4.899.000;DTCY3
Patrim. Líq;-552.000;DTCY3
Relatorio 12 meses Lucro Líquido;413.000;DTCY3
Relatorio 3 meses Lucro Líquido;-512.000;DTCY3
Relatorio 12 meses EBIT;-950.000;DTCY3
Relatorio 3 meses EBIT;-443.000;DTCY3
Relatorio 12 meses Receita Líquida;10.273.000;DTCY3
Relatorio 3 meses Receita Líquida;2.372.000;DTCY3
Papel;DXCO3;DXCO3
Cotação;7,46;DXCO3
Tipo;ON;DXCO3
Data últ cot;19/07/2023;DXCO3
Empresa;DEXCO ON;DXCO3
Min 52 sem;5,46;DXCO3
Setor;Madeira e Papel;DXCO3
Max 52 sem;9,90;DXCO3
Subsetor;Madeira;DXCO3
Vol $ méd (2m);35.473.800;DXCO3
Valor de mercado;6.121.420.000;DXCO3
Últ balanço processado;31/03/2023;DXCO3
Valor da firma;10.184.100.000;DXCO3
Nro. Ações;820.566.000;DXCO3
Dia;1,45%;DXCO3
P/L;9,00;DXCO3
LPA;0,83;DXCO3
Mês;-9,25%;DXCO3
P/VP;1,03;DXCO3
VPA;7,24;DXCO3
30 dias;-17,93%;DXCO3
P/EBIT;4,46;DXCO3
Marg. Bruta;34,6%;DXCO3
12 meses;-6,69%;DXCO3
PSR;0,76;DXCO3
Marg. EBIT;17,0%;DXCO3
2023;10,03%;DXCO3
P/Ativos;0,39;DXCO3
Marg. Líquida;8,6%;DXCO3
2022;-48,19%;DXCO3
P/Cap. Giro;3,39;DXCO3
EBIT / Ativo;8,8%;DXCO3
2021;-6,56%;DXCO3
P/Ativ Circ Liq;1,31;DXCO3
ROIC;10,5%;DXCO3
2020;16,13%;DXCO3
Div. Yield;4,2%;DXCO3
ROE;11,4%;DXCO3
2019;44,26%;DXCO3
EV / EBITDA;4,46;DXCO3
Liquidez Corr;1,58;DXCO3
2018;34,76%;DXCO3
EV / EBIT;7,43;DXCO3
Div Br/ Patrim;0,93;DXCO3
Cres. Rec (5a);15,8%;DXCO3
Giro Ativos;0,52;DXCO3
Ativo;15.625.400.000;DXCO3
Dív. Bruta;5.552.200.000;DXCO3
Disponibilidades;1.489.470.000;DXCO3
Dív. Líquida;4.062.720.000;DXCO3
Ativo Circulante;4.925.600.000;DXCO3
Patrim. Líq;5.938.500.000;DXCO3
Relatorio 12 meses Lucro Líquido;679.925.000;DXCO3
Relatorio 3 meses Lucro Líquido;147.654.000;DXCO3
Relatorio 12 meses EBIT;1.371.120.000;DXCO3
Relatorio 3 meses EBIT;340.021.000;DXCO3
Relatorio 12 meses Receita Líquida;8.067.670.000;DXCO3
Relatorio 3 meses Receita Líquida;1.712.020.000;DXCO3
Papel;EALT3;EALT3
Cotação;8,30;EALT3
Tipo;ON;EALT3
Data últ cot;17/07/2023;EALT3
Empresa;ELECTRO AÇO ALTONA S/A ON;EALT3
Min 52 sem;6,96;EALT3
Setor;Máquinas e Equipamentos;EALT3
Max 52 sem;10,23;EALT3
Subsetor;Máq. e Equip. Industriais;EALT3
Vol $ méd (2m);4.739;EALT3
Valor de mercado;186.750.000;EALT3
Últ balanço processado;31/03/2023;EALT3
Valor da firma;295.325.000;EALT3
Nro. Ações;22.500.000;EALT3
Dia;0,00%;EALT3
P/L;5,39;EALT3
LPA;1,54;EALT3
Mês;2,09%;EALT3
P/VP;0,88;EALT3
VPA;9,44;EALT3
30 dias;-3,49%;EALT3
P/EBIT;3,97;EALT3
Marg. Bruta;21,9%;EALT3
12 meses;16,57%;EALT3
PSR;0,39;EALT3
Marg. EBIT;9,8%;EALT3
2023;-4,41%;EALT3
P/Ativos;0,36;EALT3
Marg. Líquida;7,2%;EALT3
2022;-19,35%;EALT3
P/Cap. Giro;18,38;EALT3
EBIT / Ativo;9,1%;EALT3
2021;-1,45%;EALT3
P/Ativ Circ Liq;1,53;EALT3
ROIC;9,8%;EALT3
2020;-6,87%;EALT3
Div. Yield;4,1%;EALT3
ROE;16,3%;EALT3
2019;253,53%;EALT3
EV / EBITDA;4,51;EALT3
Liquidez Corr;0,95;EALT3
2018;3,67%;EALT3
EV / EBIT;6,28;EALT3
Div Br/ Patrim;0,55;EALT3
Cres. Rec (5a);17,0%;EALT3
Giro Ativos;0,92;EALT3
Ativo;519.532.000;EALT3
Dív. Bruta;116.970.000;EALT3
Disponibilidades;8.395.000;EALT3
Dív. Líquida;108.575.000;EALT3
Ativo Circulante;185.035.000;EALT3
Patrim. Líq;212.507.000;EALT3
Relatorio 12 meses Lucro Líquido;34.620.000;EALT3
Relatorio 3 meses Lucro Líquido;8.446.000;EALT3
Relatorio 12 meses EBIT;47.051.000;EALT3
Relatorio 3 meses EBIT;12.469.000;EALT3
Relatorio 12 meses Receita Líquida;479.510.000;EALT3
Relatorio 3 meses Receita Líquida;109.189.000;EALT3
Papel;EALT4;EALT4
Cotação;7,99;EALT4
Tipo;PN;EALT4
Data últ cot;19/07/2023;EALT4
Empresa;ELECTRO AÇO ALTONA S/A PN;EALT4
Min 52 sem;6,12;EALT4
Setor;Máquinas e Equipamentos;EALT4
Max 52 sem;8,89;EALT4
Subsetor;Máq. e Equip. Industriais;EALT4
Vol $ méd (2m);122.861;EALT4
Valor de mercado;179.775.000;EALT4
Últ balanço processado;31/03/2023;EALT4
Valor da firma;288.350.000;EALT4
Nro. Ações;22.500.000;EALT4
Dia;0,50%;EALT4
P/L;5,19;EALT4
LPA;1,54;EALT4
Mês;-3,15%;EALT4
P/VP;0,85;EALT4
VPA;9,44;EALT4
30 dias;-2,80%;EALT4
P/EBIT;3,82;EALT4
Marg. Bruta;21,9%;EALT4
12 meses;35,85%;EALT4
PSR;0,37;EALT4
Marg. EBIT;9,8%;EALT4
2023;24,09%;EALT4
P/Ativos;0,35;EALT4
Marg. Líquida;7,2%;EALT4
2022;4,51%;EALT4
P/Cap. Giro;17,70;EALT4
EBIT / Ativo;9,1%;EALT4
2021;55,41%;EALT4
P/Ativ Circ Liq;1,47;EALT4
ROIC;9,8%;EALT4
2020;-18,56%;EALT4
Div. Yield;4,7%;EALT4
ROE;16,3%;EALT4
2019;57,46%;EALT4
EV / EBITDA;4,40;EALT4
Liquidez Corr;0,95;EALT4
2018;32,90%;EALT4
EV / EBIT;6,13;EALT4
Div Br/ Patrim;0,55;EALT4
Cres. Rec (5a);17,0%;EALT4
Giro Ativos;0,92;EALT4
Ativo;519.532.000;EALT4
Dív. Bruta;116.970.000;EALT4
Disponibilidades;8.395.000;EALT4
Dív. Líquida;108.575.000;EALT4
Ativo Circulante;185.035.000;EALT4
Patrim. Líq;212.507.000;EALT4
